month,date,inquiry_index,unadjusted_inquiry_index
130,2010-11,123.18956,109.82817
131,2010-12,123.88484,110.6586
132,2011-01,123.88654,116.9928
133,2011-02,126.80009,127.65582
134,2011-03,127.78651,140.94262
135,2011-04,126.45053,129.24599
136,2011-05,144.05834,153.45642
137,2011-06,146.99876,149.42356
138,2011-07,148.89728,158.23579
139,2011-08,150.62663,161.0716
140,2011-09,158.18462,154.14992
141,2011-10,161.0867,153.28857
142,2011-11,161.26531,144.84297
143,2011-12,168.12612,150.70454
144,2012-01,167.02629,156.60144
145,2012-02,183.10101,183.95247
146,2012-03,174.9949,193.21525
147,2012-04,172.23733,174.81338
148,2012-05,175.02164,186.22289
149,2012-06,181.33095,183.44892
150,2012-07,179.02955,190.12324
151,2012-08,182.4559,196.51928
152,2012-09,186.20485,182.07076
153,2012-10,185.91709,177.75078
154,2012-11,191.09626,172.69314
155,2012-12,193.58613,173.5324
156,2013-01,195.52971,181.95592
157,2013-02,197.2769,197.66332
158,2013-03,197.62568,218.34003
159,2013-04,204.28432,206.41371
160,2013-05,208.58292,221.74124
161,2013-06,209.8772,211.56412
162,2013-07,215.37771,228.32281
163,2013-08,215.06197,233.18168
164,2013-09,209.92403,205.85273
165,2013-10,214.36268,205.64513
166,2013-11,218.40308,198.52467
167,2013-12,214.67478,192.45991
168,2014-01,213.01049,197.38063
169,2014-02,224.58491,224.00724
170,2014-03,228.37994,251.76465
171,2014-04,229.10251,230.85384
172,2014-05,234.48227,249.70626
173,2014-06,226.33483,227.54539
174,2014-07,231.96474,246.05769
175,2014-08,238.46977,259.63603
176,2014-09,240.32883,236.08817
177,2014-10,242.36841,232.77972
178,2014-11,241.25421,220.0318
179,2014-12,245.48369,219.77119
180,2015-01,244.80773,226.1849
181,2015-02,238.02436,236.61381
182,2015-03,244.7226,269.82199
183,2015-04,244.68748,246.69376
184,2015-05,248.24286,265.23256
185,2015-06,255.57704,256.53077
186,2015-07,260.72213,276.06343
187,2015-08,263.21419,286.57185
188,2015-09,263.02368,258.3683
189,2015-10,267.67571,256.94598
190,2015-11,262.61423,240.28005
191,2015-12,261.48615,234.38314
192,2016-01,265.1462,244.53377
193,2016-02,284.10217,281.59813
194,2016-03,259.25542,286.4570000000001
195,2016-04,272.53094,275.01656
196,2016-05,263.65653,282.68916
197,2016-06,265.70617,266.74765
198,2016-07,264.63536,279.92844
199,2016-08,270.25749,293.15782
200,2016-09,271.59753,265.90839
201,2016-10,266.88459,255.85494
202,2016-11,272.05941,249.5119
203,2016-12,279.94709,251.04907
204,2017-01,269.06883,247.59486
205,2017-02,268.91288,266.43403
206,2017-03,262.59464,292.08887
207,2017-04,265.06378,268.38641
208,2017-05,271.23283,291.37329
209,2017-06,267.50103,269.07107
210,2017-07,271.4214,286.25381
211,2017-08,264.27277,285.1186
