month,date,tightness_index,unadjusted_credit_tightness_index
139,2011-08,84.51277,84.98044
140,2011-09,82.69474000000001,84.39080000000001
141,2011-10,81.71904000000001,83.42188
142,2011-11,81.78439,81.90089
143,2011-12,81.40221000000001,80.67901000000001
144,2012-01,82.02567000000001,83.32780000000001
145,2012-02,81.44051,79.30838
146,2012-03,79.7064,78.04090000000001
147,2012-04,80.29091000000001,79.87480000000001
148,2012-05,80.15505,78.4902
149,2012-06,81.16096,82.26095000000001
150,2012-07,81.22911000000001,81.44403000000001
151,2012-08,80.19101000000001,80.50413
152,2012-09,80.18408000000001,82.04257000000001
153,2012-10,81.39363,83.36903000000001
154,2012-11,81.01574000000001,81.08384000000001
155,2012-12,79.88384000000001,79.13536000000001
156,2013-01,80.62021,81.97634000000001
157,2013-02,79.61718,77.30564000000001
158,2013-03,79.25848000000001,77.53549000000001
159,2013-04,79.42656000000001,78.98404000000001
160,2013-05,79.19113,77.52882000000001
161,2013-06,78.13875,79.36618
162,2013-07,78.78118000000001,78.92244000000001
163,2013-08,79.23096000000001,79.31069000000001
164,2013-09,79.56116,81.53424000000001
165,2013-10,78.89061000000001,80.97988000000001
166,2013-11,78.35847000000001,78.43717000000001
167,2013-12,78.32922000000001,77.6144
168,2014-01,78.14887,79.54143000000001
169,2014-02,78.51772000000001,76.12187
170,2014-03,79.15649000000001,77.33357000000001
171,2014-04,79.50861,78.99566
172,2014-05,78.88718,77.33346
173,2014-06,78.70689,80.04792
174,2014-07,78.27203,78.3772
175,2014-08,78.19013000000001,78.18279000000001
176,2014-09,79.60567,81.59502000000001
177,2014-10,79.65659000000001,81.72472
178,2014-11,78.68266000000001,78.75571000000001
179,2014-12,81.06032,80.3717
180,2015-01,78.82136000000001,80.2385
181,2015-02,78.08457,75.70598000000001
182,2015-03,78.21548,76.35082000000001
183,2015-04,78.02451000000001,77.50311000000001
184,2015-05,77.07064000000001,75.70993
185,2015-06,79.04953,80.45748
186,2015-07,79.65905000000001,79.81892000000001
187,2015-08,79.71350000000001,79.62589000000001
188,2015-09,79.76919000000001,81.70735000000001
189,2015-10,80.8318,82.72635000000001
190,2015-11,81.29163000000001,81.31093000000001
191,2015-12,82.30002,81.63248
192,2016-01,81.20612000000001,82.76133
193,2016-02,81.05911,78.67400000000001
194,2016-03,83.13398000000001,81.02654000000001
195,2016-04,82.71639,82.17241000000001
196,2016-05,82.98644,81.74166000000001
197,2016-06,83.16442000000001,84.73705000000001
198,2016-07,82.44656000000001,82.73998
199,2016-08,82.83834,82.75987000000001
200,2016-09,83.23002000000001,85.06305
201,2016-10,82.37103,83.98842
202,2016-11,83.53822000000001,83.43643
203,2016-12,82.93679,82.20894000000001
204,2017-01,83.90319000000001,85.57029
205,2017-02,84.61407000000001,82.28438000000001
206,2017-03,83.55095,81.38553
207,2017-04,83.66362000000001,83.21673000000001
208,2017-05,84.4432,83.45741000000001
209,2017-06,84.84032000000001,86.53168000000001
210,2017-07,85.15561000000001,85.58263000000001
211,2017-08,86.10562,85.9996
212,2017-09,84.77328000000001,86.37151
213,2017-10,85.39173000000001,86.72416000000001
214,2017-11,85.44614000000001,85.32764
215,2017-12,87.19168000000001,86.24605000000001
216,2018-01,86.02851000000001,87.85313000000001
217,2018-02,85.74956,83.62841
218,2018-03,85.83667000000001,83.49996
219,2018-04,85.78537,85.37776000000001
220,2018-05,85.04801,84.35639
221,2018-06,85.17368,86.89615000000001
222,2018-07,86.21080000000001,86.71016
223,2018-08,85.07774000000001,85.11116000000001
