month,date,low_yoy,moderate_yoy,middle_yoy,high_yoy
165,2013-10,-.162239506311001,-.1461932822553922,-.1883718137867165,-.2096991610764875
166,2013-11,-.127057178419411,-.1028836589553226,-.1323512718781423,-.1481437510618398
167,2013-12,-.145995272270375,-.1585511202849816,-.1384740869689984,-.087525456840863
168,2014-01,-.142580334324856,-.1104429320170131,-.1143937417612702,-.0790446971220264
169,2014-02,-.0408058479374133,-.0792694289515534,-.1010841052921218,-.0978769546855366
170,2014-03,-.1008844564960238,-.1352692578600244,-.1179369358196972,-.0694650629947268
171,2014-04,-.1664937238493726,-.0734438686824726,-.1013349688372477,-.0368023624722962
172,2014-05,-.0943534501159759,-.1421499973739957,-.0767794464728778,-.058373688016303
173,2014-06,.0040910590564171,-.0186881441215217,-.0551794242577627,.034200316474243
174,2014-07,-.041022063312113,-.0583937178226697,.0306874018540087,.0426853215513009
175,2014-08,-.0776251656873288,-.0414269593019643,-.0080315635497787,-.0124837917923228
176,2014-09,.01657085414507,-.0132247789982616,.0225394901077453,.0334544909391859
177,2014-10,-.0824356173010315,-.0913190596422676,-.0738718777579208,-.0649409372449862
178,2014-11,-.1093674362111301,-.1235033691235083,-.1081522644833013,-.1530186344358601
179,2014-12,-.0505966110993356,.1160493143313836,.1237486193172847,.0850409180729619
180,2015-01,-.1584232192809944,-.0907544329082409,-.0767497549294538,-.0231729356564023
181,2015-02,-.1244559016185607,-.0683847980438627,-.104026033036489,-.0633945038955489
182,2015-03,-.1066682859195841,-.0401131721524929,.0236680479502732,-.0155171064434386
183,2015-04,-.194269306453556,-.1082033661956428,-.0640623974651039,-.1270110367005406
184,2015-05,-.1559885296774962,-.0195709293130273,-.1016197599516026,-.0504841306274763
185,2015-06,-.1589751593612412,-.0964148543042352,-.0335125502819284,-.0482292299462327
186,2015-07,-.0936471272938911,.0127202694904107,-.0338473722789665,-.0057654156385296
187,2015-08,-.144378249628007,-.0271727866987684,-.0542702102934131,-.0325845478476259
188,2015-09,-.1055453407703837,-.0361678068137194,-.0487042426534109,-.0280931114739371
189,2015-10,-.1129586589506411,-.0655922465060231,-.0659825406486715,-.0294477842985208
190,2015-11,-.1149410520698484,-.0870621415367112,-.071612186662848,.0300609389362352
191,2015-12,-.0474226804123713,-.1383948354527303,-.0959060928851983,-.0502886891557747
192,2016-01,-.1479446686213605,-.0865946803343694,-.0318510770921149,-.0144605694245767
193,2016-02,-.1118431637545455,-.053081763548316,-.0137518979653806,.0069623410092286
194,2016-03,-.0022317635463515,-.0143134034271168,-.0547859055866582,-.0415979991377702
195,2016-04,-.1437809953397957,-.1333209654870832,-.0979672948213787,-.0228314748188585
196,2016-05,-.1297961463278415,-.0892990024405603,-.0003937031812437,-.0218073741363824
197,2016-06,-.0100797984040322,-.0477865948665411,-.0705723211891687,-.0509565668858532
198,2016-07,-.2214953646105066,-.1985825377557024,-.1792949185650719,-.0977904536404254
199,2016-08,.0488256453660598,.0368368446933974,.0465580039022513,.0416019206889513
200,2016-09,-.1023118558185064,-.0641891995380599,-.0723277130681774,-.0739915106107209
201,2016-10,-.0960539735759252,-.1345466679643506,-.0860585806958915,-.0997740214598543
202,2016-11,.0121147833854399,.045612076686439,.0738442380727558,-.0064035474275641
203,2016-12,-.1310144208233373,-.0358584424721962,-.076350615313265,-.022655254647022
204,2017-01,-.0004258834953111,.0184941710716433,-.0177000421221724,.0164826964608663
205,2017-02,-.0627870114578143,-.1076329605600139,-.0496872416452797,-.0136684485356347
206,2017-03,-.102323046529055,-.0932777658207614,-.0366455209755318,-.0193872147109303
207,2017-04,-.1606199519755515,-.1006482833487501,-.0943606576308674,-.0506862350400745
208,2017-05,.0465096378067305,.0372010502347034,.0674851010573349,.0918640431293866
209,2017-06,-.1855729099860876,-.0876902452487973,-.0184341207893578,-.005322579430903
210,2017-07,-.0254665429425715,.0122796573734159,.0448418819387503,-.021546294352298
